rule,threshold,val_precision,val_recall,val_iou,val_macro_precision,val_macro_recall,val_macro_iou,val_predicted_over_reference,test_precision,test_recall,test_iou,test_macro_precision,test_macro_recall,test_macro_iou,test_predicted_over_reference,target_validation_recall
default_0.5,0.5,0.7853480669599462,0.7967705863805847,0.6542844752141822,0.766748895461617,0.7657097513514828,0.6211243476661225,1.0145445311463677,0.7663956518833671,0.7547785732594487,0.6136095095192938,0.755277393408714,0.7205314157913852,0.5833325301953058,0.984841930411048,
best_validation_iou,0.48,0.777650315698079,0.8053764742782076,0.654630043894122,0.7587986042139078,0.7741364753353291,0.6213675227432581,1.0356537611062877,0.7590098278164956,0.7625386889664956,0.6139056254858075,0.747461322261307,0.7292408822457958,0.5842875888531087,1.00464929572803,
match_c_e12_validation_recall,0.6,0.8254046857532517,0.7462997636691897,0.6445495625955927,0.8056415610648104,0.7137196358439261,0.6095956653101069,0.9041622570728782,0.8020296579087236,0.7113255815564569,0.6050841508631063,0.7925369814000481,0.6718568645502857,0.5706774685877442,0.8869068301180085,0.7464
match_d_e7_validation_recall,0.39,0.741440106361216,0.8402328926701084,0.6498262770034473,0.7203540459807989,0.8096723081105125,0.6168759711731276,1.1332444596148705,0.7226555365788663,0.7947778266133905,0.6090139881575737,0.7049503936397392,0.7649054232209399,0.5801117358821795,1.0998017539254723,0.8385
