epoch,train_loss,val_precision,val_recall,val_parking_iou,note
0,,0.567,0.9043,0.5349,zero-shot
1,0.1756,0.7922,0.6337,0.5434,
2,0.1235,0.6949,0.7905,0.5869,
3,0.0929,0.7014,0.7817,0.5865,
4,0.0659,0.6763,0.8097,0.5835,
5,0.05,0.7618,0.7117,0.5822,
6,0.0377,0.7593,0.705,0.5762,
7,0.0331,0.6903,0.8385,0.6093,
8,0.0319,0.6653,0.8341,0.5876,
9,0.0299,0.7243,0.7784,0.6005,
10,0.023,0.6536,0.8528,0.5873,
11,0.0222,0.725,0.7886,0.607,
12,0.0207,0.7702,0.7464,0.6105,
