model_area_m2,osm_area_m2,overlap_area_m2,union_area_m2,precision_like,recall_like,iou,result_name,model_file,status,error
161407.4375,33801.45990721485,22841.454650041243,172367.4427571728,0.1415142635545604,0.6757534944567819,0.132516061529205,se2832_rgb_250_04,/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/tif_original/Download_2994141/getmapping_rgb_25cm_6421041/se2832_rgb_250_04_original.geojson,ok,
133694.1875,55394.05200953218,44354.998408822095,144733.24110071303,0.3317645982838416,0.8007177088469627,0.3064603409106105,se2833_rgb_250_03,/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/tif_original/Download_2994141/getmapping_rgb_25cm_6421041/se2833_rgb_250_03_original.geojson,ok,
74259.75,22525.315477038683,19456.248821789108,77328.81665525417,0.2620026167848546,0.8637503364435429,0.2516041194387932,se2834_rgb_250_03,/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/tif_original/Download_2994141/getmapping_rgb_25cm_6421041/se2834_rgb_250_03_original.geojson,ok,
66087.0,836.4624150682675,823.229574110261,66100.2328409577,0.0124567550972242,0.9841799933629696,0.0124542613350699,se2930_rgb_250_05,/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/tif_original/Download_2994141/getmapping_rgb_25cm_6421041/se2930_rgb_250_05_original.geojson,ok,
49725.8125,1738.0826180998167,113.52972934494612,51350.36538875487,0.0022831146166781,0.0653189486867224,0.0022108845474701,se2931_rgb_250_04,/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/tif_original/Download_2994141/getmapping_rgb_25cm_6421041/se2931_rgb_250_04_original.geojson,ok,
119429.125,65597.8173367451,27390.74748627482,157636.19485046933,0.2293473010563781,0.41755577545614,0.1737592531477758,se2932_rgb_250_04,/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/tif_original/Download_2994141/getmapping_rgb_25cm_6421041/se2932_rgb_250_04_original.geojson,ok,
88288.8125,34775.7235005101,30156.555460695505,92907.98053981389,0.3415671205306505,0.8671726257615648,0.3245852001677348,se2933_rgb_250_03,/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/tif_original/Download_2994141/getmapping_rgb_25cm_6421041/se2933_rgb_250_03_original.geojson,ok,
67574.625,13740.773017863754,9921.467408137112,71393.93060972568,0.1468223820426249,0.7220457972225189,0.1389679391988197,se2934_rgb_250_03,/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/tif_original/Download_2994141/getmapping_rgb_25cm_6421041/se2934_rgb_250_03_original.geojson,ok,
108307.0625,6514.559324186566,5944.576934530247,108877.04488965627,0.0548863277916917,0.9125063782073256,0.054598992290385,se3030_rgb_250_05,/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/tif_original/Download_2994141/getmapping_rgb_25cm_6421042/se3030_rgb_250_05_original.geojson,ok,
118579.625,40943.21743104499,23472.11415252848,136050.72827851624,0.1979439060675767,0.573284554201421,0.172524722576108,se3031_rgb_250_04,/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/tif_original/Download_2994141/getmapping_rgb_25cm_6421042/se3031_rgb_250_04_original.geojson,ok,
187305.0625,87387.92431860027,72293.9928525251,202398.99396607577,0.3859692412346041,0.8272766908726945,0.3571855345518286,se3032_rgb_250_04,/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/tif_original/Download_2994141/getmapping_rgb_25cm_6421042/se3032_rgb_250_04_original.geojson,ok,
