input_file,output_file,input_count,output_count,input_area_m2,output_area_m2
/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/leeds_original/se2526_rgb_250_03_original.geojson,/Users/hou/Desktop/dissertation/Parking/calculate/filtered_output_files/min_2500m2/leeds_original/se2526_rgb_250_03_min_2500m2.geojson,69,6,69782.0625,51367.3125
/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/leeds_original/se2527_rgb_250_03_original.geojson,/Users/hou/Desktop/dissertation/Parking/calculate/filtered_output_files/min_2500m2/leeds_original/se2527_rgb_250_03_min_2500m2.geojson,84,9,70753.5,51543.25
/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/leeds_original/se2528_rgb_250_03_original.geojson,/Users/hou/Desktop/dissertation/Parking/calculate/filtered_output_files/min_2500m2/leeds_original/se2528_rgb_250_03_min_2500m2.geojson,60,8,88681.8125,65565.6875
/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/leeds_original/se2626_rgb_250_03_original.geojson,/Users/hou/Desktop/dissertation/Parking/calculate/filtered_output_files/min_2500m2/leeds_original/se2626_rgb_250_03_min_2500m2.geojson,92,6,98226.4375,71312.0
/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/leeds_original/se2627_rgb_250_03_original.geojson,/Users/hou/Desktop/dissertation/Parking/calculate/filtered_output_files/min_2500m2/leeds_original/se2627_rgb_250_03_min_2500m2.geojson,114,6,91098.1875,35025.9375
/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/leeds_original/se2628_rgb_250_03_original.geojson,/Users/hou/Desktop/dissertation/Parking/calculate/filtered_output_files/min_2500m2/leeds_original/se2628_rgb_250_03_min_2500m2.geojson,48,0,20489.0625,0.0
/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/leeds_original/se2726_rgb_250_03_original.geojson,/Users/hou/Desktop/dissertation/Parking/calculate/filtered_output_files/min_2500m2/leeds_original/se2726_rgb_250_03_min_2500m2.geojson,47,7,102732.8125,88055.9375
/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/leeds_original/se2727_rgb_250_03_original.geojson,/Users/hou/Desktop/dissertation/Parking/calculate/filtered_output_files/min_2500m2/leeds_original/se2727_rgb_250_03_min_2500m2.geojson,21,0,4471.0625,0.0
/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/leeds_original/se2728_rgb_250_03_original.geojson,/Users/hou/Desktop/dissertation/Parking/calculate/filtered_output_files/min_2500m2/leeds_original/se2728_rgb_250_03_min_2500m2.geojson,56,1,18702.25,7395.5625
