model_area_m2,35025.9375
osm_area_m2,20692.02528504876
overlap_area_m2,18981.57755492715
union_area_m2,36736.385230121814
precision_like,0.5419291790527276
recall_like,0.9173378291124787
iou,0.5166969323743725
result_name,se2627_rgb_250_03_min_2500m2
model_file,/Users/hou/Desktop/dissertation/Parking/calculate/filtered_output_files/min_2500m2/leeds_original/se2627_rgb_250_03_min_2500m2.geojson
min_area_m2,2500.0
osm_area_filtered,True
