input_file,output_file,input_count,output_count,input_area_m2,output_area_m2
/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/leeds_original/se2526_rgb_250_03_original.geojson,/Users/hou/Desktop/dissertation/Parking/calculate/filtered_output_files/min_500m2/leeds_original/se2526_rgb_250_03_min_500m2.geojson,69,19,69782.0625,64591.625
/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/leeds_original/se2527_rgb_250_03_original.geojson,/Users/hou/Desktop/dissertation/Parking/calculate/filtered_output_files/min_500m2/leeds_original/se2527_rgb_250_03_min_500m2.geojson,84,22,70753.5,65583.0625
/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/leeds_original/se2528_rgb_250_03_original.geojson,/Users/hou/Desktop/dissertation/Parking/calculate/filtered_output_files/min_500m2/leeds_original/se2528_rgb_250_03_min_500m2.geojson,60,23,88681.8125,84853.0
/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/leeds_original/se2626_rgb_250_03_original.geojson,/Users/hou/Desktop/dissertation/Parking/calculate/filtered_output_files/min_500m2/leeds_original/se2626_rgb_250_03_min_500m2.geojson,92,24,98226.4375,89895.375
/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/leeds_original/se2627_rgb_250_03_original.geojson,/Users/hou/Desktop/dissertation/Parking/calculate/filtered_output_files/min_500m2/leeds_original/se2627_rgb_250_03_min_500m2.geojson,114,53,91098.1875,82611.25
/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/leeds_original/se2628_rgb_250_03_original.geojson,/Users/hou/Desktop/dissertation/Parking/calculate/filtered_output_files/min_500m2/leeds_original/se2628_rgb_250_03_min_500m2.geojson,48,12,20489.0625,15324.5625
/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/leeds_original/se2726_rgb_250_03_original.geojson,/Users/hou/Desktop/dissertation/Parking/calculate/filtered_output_files/min_500m2/leeds_original/se2726_rgb_250_03_min_500m2.geojson,47,15,102732.8125,100467.4375
/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/leeds_original/se2727_rgb_250_03_original.geojson,/Users/hou/Desktop/dissertation/Parking/calculate/filtered_output_files/min_500m2/leeds_original/se2727_rgb_250_03_min_500m2.geojson,21,2,4471.0625,2874.3125
/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/leeds_original/se2728_rgb_250_03_original.geojson,/Users/hou/Desktop/dissertation/Parking/calculate/filtered_output_files/min_500m2/leeds_original/se2728_rgb_250_03_min_500m2.geojson,56,9,18702.25,15268.5625
