model_area_m2,65583.0625
osm_area_m2,28.772950919780634
overlap_area_m2,0.0
union_area_m2,65611.83545091978
precision_like,0.0
recall_like,0.0
iou,0.0
result_name,se2527_rgb_250_03_min_500m2
model_file,/Users/hou/Desktop/dissertation/Parking/calculate/filtered_output_files/min_500m2/leeds_original/se2527_rgb_250_03_min_500m2.geojson
min_area_m2,500.0
osm_area_filtered,True
