sample_id,source,stratum,area_m2,labelled_frac,cell,centroid_x,centroid_y,category,conf,note,options
os_l_145,osm_disagree,large_1k+,5834.4,0.0,c2r9,427975.7,430913.4,not_parking,,goods_yard,on_street | multi_storey | private_driveway | vehicle_storage | not_parking | real_parking_missed | other
fp_s_001,fp_other,small_100_300,122.1,,c5r1,430049.6,438407.9,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_s_002,fp_other,small_100_300,127.5,,c3r5,428106.1,434893.1,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_s_003,fp_other,small_100_300,231.8,,c6r3,431225.4,436030.7,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_s_004,fp_other,small_100_300,103.2,,c4r3,429874.8,436403.5,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_s_005,fp_other,small_100_300,100.3,,c7r1,432974.4,438850.1,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_s_006,fp_other,small_100_300,121.7,,c2r9,427252.7,430476.2,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_s_007,fp_other,small_100_300,252.2,,c6r6,431520.1,433232.0,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_s_008,fp_other,small_100_300,262.6,,c2r4,427965.8,435094.2,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_s_009,fp_other,small_100_300,139.8,,c6r7,431713.7,432634.6,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_s_010,fp_other,small_100_300,162.7,,c2r2,427617.5,437329.3,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_s_011,fp_other,small_100_300,179.0,,c2r7,427763.7,432829.8,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
