col_index,row_index,dist_km,model_m2,manual_all_m2,prec_all,rec_all,iou_all,manual_c23_m2,prec_c23,rec_c23,iou_c23,parking_share,model_over_manual
6,9,3.3883678208958448,68407.9,57093.7,0.7282,0.8725,0.6582,46867.4,0.6224,0.9085,0.5857,0.0570937,1.198168974860624
1,7,3.4640963590737726,23073.3,9296.1,0.334,0.8289,0.3124,8714.3,0.3109,0.8231,0.2914,0.0092961,2.4820408558427727
6,3,3.477308144081074,21438.4,10083.4,0.4152,0.8828,0.3935,9880.8,0.4073,0.8836,0.3865,0.0100834,2.12610825713549
1,5,3.493352076638073,21524.3,14536.1,0.546,0.8085,0.4835,13687.5,0.5079,0.7986,0.4502,0.0145361,1.4807479310131326
8,6,3.668814717281669,20163.5,10875.2,0.4902,0.9088,0.4672,10597.4,0.4798,0.913,0.4589,0.010875200000000002,1.8540808444902162
2,9,3.759433740441814,78303.1,51349.6,0.5808,0.8857,0.5403,41951.5,0.4872,0.9094,0.4647,0.051349599999999995,1.524901849284123
8,7,3.7892517541779784,138499.2,106006.9,0.696,0.9093,0.6508,92818.3,0.6171,0.9209,0.5861,0.10600689999999999,1.3065111799326272
8,5,3.8160154615703874,18184.0,9507.3,0.3778,0.7226,0.33,8871.7,0.3626,0.7433,0.3223,0.0095073,1.9126355537323954
2,3,3.839788729602507,19851.0,15031.1,0.584,0.7713,0.4978,12666.1,0.4883,0.7653,0.4247,0.0150311,1.32066182781034
1,8,3.859817484253172,70603.4,53947.6,0.6745,0.8827,0.619,49100.9,0.6361,0.9146,0.6004,0.0539476,1.308740333212228
1,4,3.912196480821639,61374.4,47794.3,0.6919,0.8885,0.6366,47667.6,0.6916,0.8904,0.6373,0.047794300000000005,1.284136392833455
7,9,3.977179917970771,193762.0,106906.7,0.4348,0.788,0.3892,99270.4,0.3987,0.7782,0.358,0.1069067,1.8124401931777896
7,3,4.053220391135929,28391.2,19161.7,0.6356,0.9417,0.6115,17903.5,0.6039,0.9576,0.5882,0.0191617,1.481663944222068
4,2,4.064430745090778,20280.0,8609.0,0.3896,0.9177,0.3764,8224.2,0.3818,0.9415,0.373,0.008609,2.3556742943431295
5,2,4.105669359783702,18888.5,6508.2,0.3102,0.9004,0.2999,5635.7,0.2778,0.931,0.2722,0.0065082,2.9022617620847546
8,8,4.154113176520254,52887.4,20879.2,0.3179,0.8053,0.2952,20879.2,0.3179,0.8053,0.2952,0.0208792,2.533018506456186
8,4,4.202826022588365,22488.5,13368.7,0.4239,0.7131,0.3622,12605.3,0.3989,0.7117,0.3434,0.0133687,1.6821755294082446
3,2,4.264114640979022,19307.0,10044.1,0.4725,0.9083,0.451,7148.7,0.3574,0.9652,0.3529,0.0100441,1.92222299658506
0,6,4.331837086955408,18793.0,9459.0,0.394,0.7827,0.3551,9459.0,0.394,0.7827,0.3551,0.009459,1.986785072417803
6,2,4.381032355746102,14804.4,6562.2,0.4222,0.9524,0.4134,6250.5,0.4016,0.9512,0.3935,0.0065622,2.256011703392155
0,7,4.434302648074513,24464.7,15285.8,0.528,0.8451,0.4815,15285.8,0.528,0.8451,0.4815,0.015285799999999999,1.6004854178387786
1,9,4.4493166260162695,32059.6,11906.2,0.3188,0.8583,0.3028,9304.0,0.2773,0.9555,0.2738,0.0119062,2.692681124120206
0,5,4.457194759164558,19572.6,10670.7,0.3885,0.7126,0.3359,10670.7,0.3885,0.7126,0.3359,0.0106707,1.8342376788776742
1,3,4.5174167261561005,19818.0,11971.5,0.5018,0.8307,0.4552,11971.5,0.5018,0.8307,0.4552,0.0119715,1.6554316501691517
9,6,4.668739127427244,24329.6,13546.5,0.4733,0.8501,0.4368,13101.2,0.4626,0.8591,0.43,0.0135465,1.7960063485033033
2,2,4.673943737485949,22189.7,13104.5,0.5067,0.8579,0.4675,10796.4,0.4089,0.8404,0.3794,0.0131045,1.6932885649967568
8,9,4.706897461187944,62589.3,32982.0,0.4151,0.7878,0.3734,22767.7,0.321,0.8824,0.3078,0.032982,1.897680553028925
0,8,4.749870251019384,53584.5,36125.2,0.5597,0.8302,0.5022,33897.9,0.5209,0.8234,0.4686,0.036125199999999996,1.48329974643739
9,7,4.763963944738501,53547.4,38495.2,0.6762,0.9407,0.6486,38495.2,0.6762,0.9407,0.6486,0.0384952,1.391014983686278
8,3,4.771322578630334,21676.4,11033.1,0.4418,0.868,0.414,10725.7,0.4296,0.8682,0.4033,0.0110331,1.9646699477028216
9,5,4.785279261774781,51183.4,32712.9,0.5832,0.9125,0.5523,31635.8,0.5729,0.9269,0.5482,0.0327129,1.5646243530839516
0,4,4.792531449487388,15406.5,9984.8,0.5688,0.8777,0.527,9589.1,0.5546,0.891,0.5193,0.009984799999999999,1.5429953529364635
7,2,4.850811077780888,21847.6,11221.7,0.4561,0.888,0.4313,8724.3,0.3444,0.8624,0.3265,0.011221700000000001,1.9469064402006824
